"","geography","periodicity","seasonadj","geo_level","ind_level","industry","ownercode","sex","agegrp","race","ethnicity","education","firmage","firmsize","year","quarter","Emp","EmpEnd","EmpS","EmpTotal","EmpSpv","HirA","HirN","HirR","Sep","HirAEnd","SepBeg","HirAEndRepl","HirAEndR","SepBegR","HirAEndReplR","HirAS","HirNS","SepS","SepSnx","TurnOvrS","FrmJbGn","FrmJbLs","FrmJbC","FrmJbGnS","FrmJbLsS","FrmJbCS","EarnS","EarnBeg","EarnHirAS","EarnHirNS","EarnSepS","Payroll","state","Open.State.MOU","Abbr","Name","Ag..Abbr","Ag..Name","Option","Version"
"20",1,"Q","U","S","S","81","A00",0,"A00","A0","A0","E0",0,0,2014,1,43571,44677,39294,50792,39462,7221,6421,800,6115,5383,4277,2490,0.122,0.097,0.056,2995,2666,3163,3577,0.084,2893,1790,1102,1748,1920,-172,2779,2608,1929,2002,1932,359665743,"AL",NA,"AL","Alabama","ALDIR","Alabama Department of Industrial Relations","B",2
"21",1,"Q","U","S","S","92","A00",0,"A00","A0","A0","E0",0,0,2014,1,89380,89607,86329,92996,85779,3616,3150,465,3389,3278,3051,2264,0.037,0.034,0.025,3164,2905,2614,2943,0.035,1014,842,171,1136,585,551,3100,3070,1959,1986,2343,839610772,"AL",NA,"AL","Alabama","ALDIR","Alabama Department of Industrial Relations","B",2
"23",2,"Q","U","S","S","11","A00",0,"A00","A0","A0","E0",0,0,2014,1,658,769,576,939,548,281,212,69,171,193,82,55,0.27,0.115,0.077,78,65,50,104,0.158,138,26,112,54,26,27,3682,3511,4837,5182,3591,8315614,"AK",NA,"AK","Alaska","AKDLWD","Alaska Department of Labor and Workforce Development","NA",1
"24",2,"Q","U","S","S","21","A00",0,"A00","A0","A0","E0",0,0,2014,1,15967,16712,15011,17947,14896,1980,1295,685,1235,1701,956,510,0.104,0.059,0.031,885,743,770,864,0.058,1191,360,831,345,236,109,12744,12284,8998,9172,9981,612724394,"AK",NA,"AK","Alaska","AKDLWD","Alaska Department of Labor and Workforce Development","NA",1
"25",2,"Q","U","S","S","22","A00",0,"A00","A0","A0","E0",0,0,2014,1,2201,2218,2083,2389,2103,188,152,36,171,135,118,77,0.061,0.053,0.035,79,63,99,97,0.042,58,39,19,37,56,-20,6740,6564,4679,4688,4830,43220854,"AK",NA,"AK","Alaska","AKDLWD","Alaska Department of Labor and Workforce Development","NA",1
"26",2,"Q","U","S","S","23","A00",0,"A00","A0","A0","E0",0,0,2014,1,14267,15128,11740,19215,11492,4947,3977,971,4087,3388,2527,1188,0.231,0.172,0.081,1697,1300,1449,1759,0.147,2200,1383,817,1079,853,226,5307,4806,5931,5505,5604,256259729,"AK",NA,"AK","Alaska","AKDLWD","Alaska Department of Labor and Workforce Development","NA",1
"27",2,"Q","U","S","S","31-33","A00",0,"A00","A0","A0","E0",0,0,2014,1,11178,14806,10064,17226,10350,6048,3494,2554,2420,4742,1114,930,0.365,0.086,0.072,548,387,834,1257,0.09,3812,278,3534,207,489,-282,3623,3519,2939,2978,2902,148058126,"AK",NA,"AK","Alaska","AKDLWD","Alaska Department of Labor and Workforce Development","NA",1
"28",2,"Q","U","S","S","42","A00",0,"A00","A0","A0","E0",0,0,2014,1,6432,6489,5937,7137,5875,705,619,85,648,552,495,324,0.085,0.077,0.05,434,400,373,532,0.081,228,173,55,227,164,63,4577,4361,2834,2845,3253,87364515,"AK",NA,"AK","Alaska","AKDLWD","Alaska Department of Labor and Workforce Development","NA",1
"29",2,"Q","U","S","S","44-45","A00",0,"A00","A0","A0","E0",0,0,2014,1,35448,34931,30269,41699,30059,6252,5272,980,6768,4662,5179,2996,0.132,0.147,0.085,3518,3201,3308,4243,0.128,1666,2155,-489,1248,1009,239,2666,2419,1624,1667,1755,268194824,"AK",NA,"AK","Alaska","AKDLWD","Alaska Department of Labor and Workforce Development","NA",1
"30",2,"Q","U","S","S","48-49","A00",0,"A00","A0","A0","E0",0,0,2014,1,18134,18566,16715,20555,16610,2421,1756,666,1989,1851,1419,917,0.101,0.077,0.05,1106,929,1001,1356,0.074,934,485,449,479,386,93,5435,5214,3206,3334,3538,297576418,"AK",NA,"AK","Alaska","AKDLWD","Alaska Department of Labor and Workforce Development","NA",1
"31",2,"Q","U","S","S","51","A00",0,"A00","A0","A0","E0",0,0,2014,1,6274,6244,5809,6884,5742,611,494,117,640,435,465,277,0.069,0.074,0.044,438,400,370,391,0.071,158,195,-37,210,156,54,5210,4951,3205,3414,3618,96144878,"AK",NA,"AK","Alaska","AKDLWD","Alaska Department of Labor and Workforce Development","NA",1
"32",2,"Q","U","S","S","52","A00",0,"A00","A0","A0","E0",0,0,2014,1,7236,7259,6751,7829,6714,594,504,90,570,508,485,287,0.07,0.067,0.04,428,399,390,539,0.072,221,196,25,196,159,37,5818,5623,3219,3239,4166,124957678,"AK",NA,"AK","Alaska","AKDLWD","Alaska Department of Labor and Workforce Development","NA",1
"33",2,"Q","U","S","S","53","A00",0,"A00","A0","A0","E0",0,0,2014,1,4938,4965,4363,5788,4303,850,718,133,823,602,575,355,0.122,0.116,0.072,450,389,389,525,0.112,247,228,19,227,170,57,3681,3380,2580,2631,2612,53276124,"AK",NA,"AK","Alaska","AKDLWD","Alaska Department of Labor and Workforce Development","NA",1
"34",2,"Q","U","S","S","54","A00",0,"A00","A0","A0","E0",0,0,2014,1,15130,16048,13764,18036,13536,2906,2304,602,1988,2284,1366,721,0.147,0.088,0.046,1322,1080,1094,1382,0.098,1563,620,943,846,598,248,5868,5593,4643,4934,4113,275363108,"AK",NA,"AK","Alaska","AKDLWD","Alaska Department of Labor and Workforce Development","NA",1
"35",2,"Q","U","S","S","55","A00",0,"A00","A0","A0","E0",0,0,2014,1,3180,3235,2879,3654,2870,474,334,140,420,356,301,215,0.111,0.094,0.067,242,213,233,280,0.091,141,89,52,89,77,12,6324,6088,3713,3934,4618,65399679,"AK",NA,"AK","Alaska","AKDLWD","Alaska Department of Labor and Workforce Development","NA",1
"36",2,"Q","U","S","S","56","A00",0,"A00","A0","A0","E0",0,0,2014,1,11711,11680,9708,14969,9333,3258,2858,401,3289,1972,2003,1317,0.169,0.171,0.113,1443,1207,1069,1536,0.153,655,686,-31,730,383,347,3695,3258,2752,2899,2466,124165122,"AK",NA,"AK","Alaska","AKDLWD","Alaska Department of Labor and Workforce Development","NA",1
"37",2,"Q","U","S","S","61","A00",0,"A00","A0","A0","E0",0,0,2014,1,30801,31208,29087,34018,27312,3218,2183,1034,2810,2121,1714,1498,0.068,0.055,0.048,2733,1587,957,3939,0.115,623,216,407,1777,46,1731,3477,3327,1234,1273,2140,325505191,"AK",NA,"AK","Alaska","AKDLWD","Alaska Department of Labor and Workforce Development","NA",1
"38",2,"Q","U","S","S","62","A00",0,"A00","A0","A0","E0",0,0,2014,1,45232,45778,41382,50726,40598,5494,4669,826,4949,4396,3850,2891,0.097,0.085,0.064,3696,3328,2913,4064,0.094,1505,974,531,1593,826,766,3915,3709,2983,3052,2678,524977048,"AK",NA,"AK","Alaska","AKDLWD","Alaska Department of Labor and Workforce Development","NA",1
"39",2,"Q","U","S","S","71","A00",0,"A00","A0","A0","E0",0,0,2014,1,3987,4123,3211,5389,2911,1401,1003,399,1266,912,776,410,0.225,0.191,0.101,658,423,358,777,0.223,502,381,121,425,124,301,1646,1407,912,1028,841,17969506,"AK",NA,"AK","Alaska","AKDLWD","Alaska Department of Labor and Workforce Development","NA",1
"40",2,"Q","U","S","S","72","A00",0,"A00","A0","A0","E0",0,0,2014,1,25232,26124,20635,32821,20061,7590,6577,1013,6697,5489,4597,3630,0.214,0.179,0.141,3412,2911,2838,4154,0.183,1859,998,861,1467,929,538,1926,1698,1414,1417,1386,139907930,"AK",NA,"AK","Alaska","AKDLWD","Alaska Department of Labor and Workforce Development","NA",1
"41",2,"Q","U","S","S","81","A00",0,"A00","A0","A0","E0",0,0,2014,1,9491,9801,8299,11643,8053,2152,1780,372,1842,1502,1192,734,0.156,0.124,0.076,1056,906,810,1155,0.133,768,465,303,634,381,253,2980,2747,2054,2114,2077,87518323,"AK",NA,"AK","Alaska","AKDLWD","Alaska Department of Labor and Workforce Development","NA",1
"42",2,"Q","U","S","S","92","A00",0,"A00","A0","A0","E0",0,0,2014,1,33454,33954,31588,36872,30123,3418,2206,1212,2918,2366,1866,1491,0.07,0.055,0.044,2811,1444,1345,1993,0.076,875,379,496,1701,282,1418,4528,4374,3133,2690,3070,425422833,"AK",NA,"AK","Alaska","AKDLWD","Alaska Department of Labor and Workforce Development","NA",1
"44",4,"Q","U","S","S","11","A00",0,"A00","A0","A0","E0",0,0,2014,1,32567,22342,18771,42637,14469,10070,8082,1988,20295,3571,13796,2048,0.13,0.503,0.075,7010,2673,2708,6866,0.37,1523,11597,-10074,6182,1623,4558,2359,1888,2047,1828,2089,208388691,"AZ",NA,"AZ","Arizona","ADA","Arizona Department  of Administration","A",2
"45",4,"Q","U","S","S","21","A00",0,"A00","A0","A0","E0",0,0,2014,1,12419,12487,11808,13246,11521,828,739,88,760,679,611,358,0.055,0.049,0.029,808,403,521,527,0.057,321,236,85,472,228,244,7830,7636,5563,5218,6759,309796756,"AZ",NA,"AZ","Arizona","ADA","Arizona Department  of Administration","A",2
"46",4,"Q","U","S","S","22","A00",0,"A00","A0","A0","E0",0,0,2014,1,21438,21919,20643,23026,19965,1588,688,900,1107,1276,795,592,0.059,0.037,0.027,1346,510,668,607,0.047,684,294,390,863,315,547,7212,7160,4309,4154,5784,504546712,"AZ",NA,"AZ","Arizona","ADA","Arizona Department  of Administration","A",2
"47",4,"Q","U","S","S","23","A00",0,"A00","A0","A0","E0",0,0,2014,1,127512,129401,108356,158312,108615,30801,26618,4183,28911,21045,19156,9502,0.164,0.149,0.074,12601,10462,12860,14046,0.123,11543,9607,1936,6869,7144,-275,4095,3747,3208,3238,3418,1569349613,"AZ",NA,"AZ","Arizona","ADA","Arizona Department  of Administration","A",2
"48",4,"Q","U","S","S","31-33","A00",0,"A00","A0","A0","E0",0,0,2014,1,161816,162102,151017,176356,150964,14540,12800,1740,14255,11085,10799,6073,0.068,0.067,0.037,8402,7157,8349,9369,0.059,5012,4666,346,4273,4118,155,6657,6385,3802,3615,4318,3112860715,"AZ",NA,"AZ","Arizona","ADA","Arizona Department  of Administration","A",2
"49",4,"Q","U","S","S","42","A00",0,"A00","A0","A0","E0",0,0,2014,1,91717,92987,84995,101890,84021,10173,9082,1091,8904,7992,6722,3735,0.087,0.073,0.04,6185,5420,5211,6984,0.077,4257,2983,1274,3563,2624,939,6042,5858,4369,4224,4538,1699966576,"AZ",NA,"AZ","Arizona","ADA","Arizona Department  of Administration","A",2
"50",4,"Q","U","S","S","44-45","A00",0,"A00","A0","A0","E0",0,0,2014,1,310617,297174,262693,355733,259950,45116,41769,3348,58560,34481,47924,24145,0.113,0.158,0.079,31887,29626,29145,29711,0.117,10336,23323,-12987,12527,9566,2961,2730,2466,1560,1555,1767,2404789160,"AZ",NA,"AZ","Arizona","ADA","Arizona Department  of Administration","A",2
"51",4,"Q","U","S","S","48-49","A00",0,"A00","A0","A0","E0",0,0,2014,1,74033,73388,65653,84247,64827,10213,9105,1109,10859,7735,8380,4046,0.105,0.114,0.055,5551,4811,4726,5526,0.084,3689,4272,-583,2710,1934,776,4335,4056,2404,2360,3263,921324459,"AZ",NA,"AZ","Arizona","ADA","Arizona Department  of Administration","A",2
"52",4,"Q","U","S","S","51","A00",0,"A00","A0","A0","E0",0,0,2014,1,44322,44765,40639,49405,40141,5083,4165,919,4640,4126,3683,2460,0.093,0.083,0.055,3313,3022,2814,3348,0.082,1666,1231,434,1441,914,527,5723,5497,3320,3425,3994,770698980,"AZ",NA,"AZ","Arizona","ADA","Arizona Department  of Administration","A",2
"53",4,"Q","U","S","S","52","A00",0,"A00","A0","A0","E0",0,0,2014,1,129579,140189,120003,153121,119721,23542,12117,11425,12932,20186,9576,6889,0.15,0.071,0.051,8280,7989,7998,9086,0.072,13297,3624,9673,3538,3319,220,6776,6498,3890,3881,4893,2924949024,"AZ",NA,"AZ","Arizona","ADA","Arizona Department  of Administration","A",2
"54",4,"Q","U","S","S","53","A00",0,"A00","A0","A0","E0",0,0,2014,1,48178,49204,43482,55368,42121,7190,6403,787,6164,5722,4696,3122,0.118,0.096,0.064,4846,3968,3486,4963,0.113,2600,1567,1033,2831,1578,1254,4186,3956,2417,2584,2728,606385867,"AZ",NA,"AZ","Arizona","ADA","Arizona Department  of Administration","A",2
"55",4,"Q","U","S","S","54","A00",0,"A00","A0","A0","E0",0,0,2014,1,128978,134078,116181,152860,113809,23882,19791,4091,18781,17897,12797,6752,0.136,0.097,0.051,11845,9674,9473,12147,0.103,11145,6136,5008,7226,4974,2253,6179,5840,3905,4243,4402,2398992018,"AZ",NA,"AZ","Arizona","ADA","Arizona Department  of Administration","A",2
"56",4,"Q","U","S","S","55","A00",0,"A00","A0","A0","E0",0,0,2014,1,29596,29212,26660,32902,26616,3305,3037,268,3690,2552,2936,1908,0.087,0.1,0.065,2143,2018,2099,2169,0.081,644,974,-330,722,668,54,6194,5860,3041,3019,7478,552095733,"AZ",NA,"AZ","Arizona","ADA","Arizona Department  of Administration","A",2
"57",4,"Q","U","S","S","56","A00",0,"A00","A0","A0","E0",0,0,2014,1,215025,218967,168618,294530,166977,79505,71281,8224,75563,50349,46407,31625,0.232,0.214,0.146,27711,24318,26070,27127,0.163,18724,15644,3080,10553,8893,1659,3244,2756,2099,2188,2144,2009615552,"AZ",NA,"AZ","Arizona","ADA","Arizona Department  of Administration","A",2
"58",4,"Q","U","S","S","61","A00",0,"A00","A0","A0","E0",0,0,2014,1,224850,226509,212239,242589,196180,17738,13575,4163,16080,14270,12611,10186,0.063,0.056,0.045,24773,10848,8713,22340,0.111,4084,2398,1687,16523,1597,14926,3072,2961,2043,1652,1913,2074053617,"AZ",NA,"AZ","Arizona","ADA","Arizona Department  of Administration","A",2
"59",4,"Q","U","S","S","62","A00",0,"A00","A0","A0","E0",0,0,2014,1,323632,325564,294312,362189,289044,38557,35008,3549,36625,31252,29320,21235,0.096,0.09,0.065,28065,23363,22797,25609,0.091,10017,8131,1887,13257,7520,5737,3903,3682,2891,2672,2758,3753146040,"AZ",NA,"AZ","Arizona","ADA","Arizona Department  of Administration","A",2
"60",4,"Q","U","S","S","71","A00",0,"A00","A0","A0","E0",0,0,2014,1,51711,52761,44796,62764,41606,11053,8617,2436,10003,7965,6915,4141,0.152,0.132,0.079,7125,4693,3936,8940,0.179,3824,2686,1138,4363,1362,3001,2891,2693,3325,2326,3189,467985525,"AZ",NA,"AZ","Arizona","ADA","Arizona Department  of Administration","A",2
"61",4,"Q","U","S","S","72","A00",0,"A00","A0","A0","E0",0,0,2014,1,247606,251043,199389,320721,198630,73115,67610,5505,69678,51654,48217,33931,0.207,0.193,0.136,32157,29248,31398,34372,0.167,17723,13818,3905,13087,11968,1119,1807,1593,1254,1258,1276,1281948443,"AZ",NA,"AZ","Arizona","ADA","Arizona Department  of Administration","A",2
"62",4,"Q","U","S","S","81","A00",0,"A00","A0","A0","E0",0,0,2014,1,68289,69822,59656,82580,59151,14291,12501,1790,12758,10166,8633,5198,0.147,0.125,0.075,6467,5441,5962,6818,0.111,4968,3296,1672,3711,3153,557,2921,2703,1916,2002,1979,589075364,"AZ",NA,"AZ","Arizona","ADA","Arizona Department  of Administration","A",2
"63",4,"Q","U","S","S","92","A00",0,"A00","A0","A0","E0",0,0,2014,1,115000,115477,110407,121082,109061,6082,4664,1418,5605,5070,4593,3798,0.044,0.04,0.033,5313,4050,3967,4647,0.045,1272,806,466,2062,781,1281,3723,3662,2724,2564,2880,1314198800,"AZ",NA,"AZ","Arizona","ADA","Arizona Department  of Administration","A",2
"65",5,"Q","U","S","S","11","A00",0,"A00","A0","A0","E0",0,0,2014,1,11379,12142,10268,13867,10241,2488,1945,543,1725,1874,1111,619,0.159,0.094,0.053,786,601,759,877,0.081,1255,508,747,570,551,19,2781,2628,2152,2112,1996,98906919,"AR",NA,"AR","Arkansas","ARDWS","Arkansas Department of Workforce Services","A",2
"66",5,"Q","U","S","S","21","A00",0,"A00","A0","A0","E0",0,0,2014,1,6930,6880,6262,7767,6438,837,679,158,887,618,668,325,0.09,0.097,0.047,373,343,549,516,0.071,293,334,-41,175,351,-176,6975,6567,4749,4842,4681,139038663,"AR",NA,"AR","Arkansas","ARDWS","Arkansas Department of Workforce Services","A",2
"67",5,"Q","U","S","S","22","A00",0,"A00","A0","A0","E0",0,0,2014,1,11133,10958,10647,11570,10888,438,305,133,612,311,486,198,0.028,0.044,0.018,209,188,450,325,0.025,113,295,-181,100,349,-250,6075,6145,3039,3173,5490,211940984,"AR",NA,"AR","Arkansas","ARDWS","Arkansas Department of Workforce Services","A",2
"68",5,"Q","U","S","S","23","A00",0,"A00","A0","A0","E0",0,0,2014,1,48584,49187,42555,59284,42905,10700,9236,1464,10097,6632,6029,2903,0.136,0.123,0.059,3345,2826,3695,4083,0.087,3729,3148,581,1927,2291,-364,3244,3044,2515,2563,2556,485828913,"AR",NA,"AR","Arkansas","ARDWS","Arkansas Department of Workforce Services","A",2
"69",5,"Q","U","S","S","31-33","A00",0,"A00","A0","A0","E0",0,0,2014,1,152832,153285,143050,166636,143889,13805,12529,1275,13351,10235,9782,6937,0.067,0.064,0.045,6736,6156,7575,7707,0.05,3298,2874,424,2402,3218,-816,3745,3602,2517,2514,2732,1708820728,"AR",NA,"AR","Arkansas","ARDWS","Arkansas Department of Workforce Services","A",2
"70",5,"Q","U","S","S","42","A00",0,"A00","A0","A0","E0",0,0,2014,1,45176,46097,41836,50304,42135,5127,4557,570,4206,4261,3340,1949,0.093,0.073,0.043,2402,2247,2701,2995,0.065,2312,1393,919,1297,1578,-282,5479,5253,3835,3887,4410,746307828,"AR",NA,"AR","Arkansas","ARDWS","Arkansas Department of Workforce Services","A",2
"71",5,"Q","U","S","S","44-45","A00",0,"A00","A0","A0","E0",0,0,2014,1,128192,126147,109579,150137,108445,21945,20032,1913,23990,16568,18613,11686,0.13,0.146,0.092,12698,11915,11564,13445,0.119,4882,7003,-2122,4625,3512,1113,2638,2360,1312,1316,1521,965818112,"AR",NA,"AR","Arkansas","ARDWS","Arkansas Department of Workforce Services","A",2
"72",5,"Q","U","S","S","48-49","A00",0,"A00","A0","A0","E0",0,0,2014,1,49510,49858,43364,58214,43371,8704,8081,623,8356,6494,6146,4364,0.131,0.124,0.088,3979,3715,3986,4172,0.094,2130,1864,266,1178,1190,-12,3950,3620,2584,2608,2675,569326730,"AR",NA,"AR","Arkansas","ARDWS","Arkansas Department of Workforce Services","A",2
"73",5,"Q","U","S","S","51","A00",0,"A00","A0","A0","E0",0,0,2014,1,15757,15712,14580,17104,14772,1346,1200,146,1391,1132,1177,680,0.072,0.075,0.043,765,718,957,1054,0.062,452,490,-38,285,480,-194,4708,4538,2721,2766,3131,220926059,"AR",NA,"AR","Arkansas","ARDWS","Arkansas Department of Workforce Services","A",2
"74",5,"Q","U","S","S","52","A00",0,"A00","A0","A0","E0",0,0,2014,1,35201,35190,33302,37677,33286,2476,2287,188,2487,1888,1899,983,0.054,0.054,0.028,1653,1586,1637,2038,0.055,905,912,-7,858,843,15,5473,5309,2753,2732,3233,566077396,"AR",NA,"AR","Arkansas","ARDWS","Arkansas Department of Workforce Services","A",2
"75",5,"Q","U","S","S","53","A00",0,"A00","A0","A0","E0",0,0,2014,1,12592,12741,11393,14251,11490,1659,1481,178,1510,1348,1199,645,0.106,0.095,0.051,836,776,933,1011,0.081,703,567,136,477,589,-112,2870,2708,2129,2117,1961,107179007,"AR",NA,"AR","Arkansas","ARDWS","Arkansas Department of Workforce Services","A",2
"76",5,"Q","U","S","S","54","A00",0,"A00","A0","A0","E0",0,0,2014,1,40079,41871,36358,47796,35822,7717,6310,1407,5925,5513,3721,1808,0.135,0.091,0.044,3362,2788,2826,3300,0.092,3705,1899,1807,2303,1749,554,4550,4383,3020,3193,3270,560115972,"AR",NA,"AR","Arkansas","ARDWS","Arkansas Department of Workforce Services","A",2
"77",5,"Q","U","S","S","55","A00",0,"A00","A0","A0","E0",0,0,2014,1,32274,32095,30369,34439,30387,2164,1913,251,2344,1726,1905,1463,0.054,0.059,0.045,1412,1314,1429,1520,0.048,263,459,-196,184,204,-20,8388,8073,4031,2480,3944,852663536,"AR",NA,"AR","Arkansas","ARDWS","Arkansas Department of Workforce Services","A",2
